City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,khani,41.9563,42.9566,47.77,68,83,4.81,GE,1668882447
84,sinnamary,5.3833,-52.95,85.06,63,96,9.08,GF,1668882511
85,kita,13.0349,-9.4895,84.0,16,62,1.25,ML,1668882511
86,kakonko,-3.2828,30.9642,65.66,93,97,3.04,TZ,1668882512
87,port elizabeth,-33.918,25.5701,63.1,86,0,9.22,ZA,1668882361
88,georgetown,5.4112,100.3354,78.89,96,40,3.44,MY,1668882425
89,dukat,62.55,155.55,-14.6,71,12,2.68,RU,1668882512
90,chokurdakh,70.6333,147.9167,-8.48,96,100,12.5,RU,1668882513
91,sisimiut,66.9395,-53.6735,21.29,93,95,11.77,GL,1668882513
92,yulara,-25.2406,130.9889,64.38,23,13,8.21,AU,1668882514
93,amapa,1.0,-52.0,94.46,32,27,4.65,BR,1668882514
94,provideniya,64.3833,-173.3,26.58,83,100,6.17,RU,1668882514
95,bongandanga,1.5,21.05,76.35,73,94,1.88,CD,1668882515
96,bilma,18.6853,12.9164,75.54,19,4,6.31,NE,1668882515
97,avarua,-21.2078,-159.775,75.25,69,47,6.91,CK,1668882516
98,punta arenas,-53.15,-70.9167,53.71,35,20,34.52,CL,1668882516
99,dikson,73.5069,80.5464,-16.2,99,62,3.24,RU,1668882517
100,mamakan,57.8161,114.0028,-13.16,99,79,0.83,RU,1668882517
101,torbay,47.6666,-52.7314,41.76,80,75,9.22,CA,1668882517
102,zharkent,44.1628,80.0,36.45,68,74,6.38,KZ,1668882518
103,kloulklubed,7.0419,134.2556,75.7,76,72,9.86,PW,1668882518
104,kilindoni,-7.9139,39.6668,79.43,78,91,11.63,TZ,1668882519
105,oga,46.4631,10.347,36.28,94,90,5.88,IT,1668882519
106,obeliai,55.9667,25.15,23.76,93,100,4.52,LT,1668882519
107,taybad,34.74,60.7756,56.05,54,0,6.58,IR,1668882520
108,tasiilaq,65.6145,-37.6368,35.76,70,100,12.55,GL,1668882520
109,ban dung,17.699,103.2596,75.99,99,86,4.7,TH,1668882520
110,skelleftea,64.7507,20.9528,28.0,100,100,6.91,SE,1668882521
111,kralendijk,12.15,-68.2667,85.98,70,75,18.41,BQ,1668882521
112,kodiak,57.79,-152.4072,44.11,87,100,23.02,US,1668882521
113,ahuimanu,21.4447,-157.8378,78.62,79,20,5.99,US,1668882522
114,ambilobe,-13.2,49.05,77.52,74,54,4.76,MG,1668882522
115,saskylakh,71.9167,114.0833,-18.45,100,96,2.3,RU,1668882522
116,hinesburg,44.3292,-73.1107,38.17,59,75,13.8,US,1668882523
117,port hedland,-20.3167,118.5667,78.48,53,98,7.2,AU,1668882523
118,saldanha,-33.0117,17.9442,62.65,73,0,14.0,ZA,1668882524
119,mount gambier,-37.8333,140.7667,48.6,90,84,13.0,AU,1668882292
120,mehamn,71.0357,27.8492,37.35,81,75,5.75,NO,1668882524
121,santiago del estero,-27.7951,-64.2615,105.03,16,30,15.48,AR,1668882230
122,kavaratti,10.5669,72.642,80.83,58,25,2.66,IN,1668882525
123,severo-kurilsk,50.6789,156.125,33.03,71,78,11.61,RU,1668882525
124,kula,38.5473,28.6498,57.34,69,21,6.22,TR,1668882526
125,bonthe,7.5264,-12.505,81.25,57,100,7.07,SL,1668882526
126,cockburn town,21.4612,-71.1419,80.56,69,75,17.27,TC,1668882526
127,scarborough,54.2797,-0.4044,42.91,77,86,3.0,GB,1668882444
128,lima,-12.0432,-77.0282,66.45,68,0,10.36,PE,1668882527
129,komsomolskiy,40.4272,71.7189,45.32,87,100,0.0,UZ,1668882527
130,oktyabrskoye,43.0645,44.7417,35.74,87,9,6.71,RU,1668882528
131,tikrit,34.6071,43.6782,63.5,49,8,7.14,IQ,1668882528
132,grand gaube,-20.0064,57.6608,73.8,71,33,1.01,MU,1668882528
133,isangel,-19.55,169.2667,77.18,83,69,1.7,VU,1668882528
134,qaqortoq,60.7167,-46.0333,25.7,81,100,5.5,GL,1668882529
135,beausejour,50.0622,-96.5167,6.85,87,97,9.6,CA,1668882529
136,ventspils,57.3894,21.5606,24.73,86,100,8.05,LV,1668882530
137,geraldton,-28.7667,114.6,54.01,87,0,8.05,AU,1668882530
138,byron bay,-28.65,153.6167,68.94,87,5,15.66,AU,1668882530
139,zeya,53.75,127.2667,23.77,95,100,7.11,RU,1668882531
140,waipawa,-41.4122,175.5153,55.58,87,90,3.27,NZ,1668882531
141,bethel,41.3712,-73.414,40.62,48,0,8.05,US,1668882532
142,camopi,3.1655,-52.3158,94.95,31,40,3.83,GF,1668882532
143,mount isa,-20.7333,139.5,74.97,83,40,5.75,AU,1668882532
144,yaan,7.3833,8.5667,85.05,28,69,1.86,NG,1668882533
145,omboue,-1.5746,9.2618,77.41,89,74,10.04,GA,1668882533
146,airai,-8.9266,125.4092,61.97,95,100,1.52,TL,1668882533
147,lorengau,-2.0226,147.2712,80.92,71,99,7.61,PG,1668882534
148,mareeba,-17.0,145.4333,74.44,94,74,2.28,AU,1668882534
149,carnarvon,-24.8667,113.6333,66.27,62,0,24.92,AU,1668882535
150,wewak,-3.5534,143.6268,79.14,78,78,2.17,PG,1668882535
151,ordzhonikidze,52.4411,61.7408,16.34,90,100,12.97,KZ,1668882535
152,mar del plata,-38.0023,-57.5575,73.42,88,20,6.91,AR,1668882536
153,bubaque,11.2833,-15.8333,85.8,47,89,10.38,GW,1668882536
154,kedrovyy,56.1667,91.8167,-1.79,96,25,4.54,RU,1668882536
155,the valley,18.217,-63.0578,85.86,70,40,14.97,AI,1668882537
156,altoona,40.5187,-78.3947,34.23,53,48,3.0,US,1668882333
157,petropavlovsk-kamchatskiy,53.0452,158.6483,7.39,66,0,11.18,RU,1668882537
158,brawley,32.9787,-115.5303,68.68,16,0,10.36,US,1668882292
159,chuy,-33.6971,-53.4616,81.07,51,66,13.04,UY,1668882538
160,dudinka,69.4058,86.1778,-2.38,100,100,2.95,RU,1668882538
161,temiscaming,46.7212,-79.0971,29.71,80,100,6.91,CA,1668882538
162,mumbwa,-14.9783,27.0619,75.43,24,4,4.56,ZM,1668882539
163,hay river,60.8156,-115.7999,17.58,57,75,5.75,CA,1668882539
164,oyama,36.3,139.8,54.59,58,100,5.37,JP,1668882539
165,atuona,-9.8,-139.0333,76.84,74,28,10.29,PF,1668882540
166,ishigaki,24.3448,124.1572,73.53,88,5,5.75,JP,1668882540
167,coihaique,-45.5752,-72.0662,59.61,70,75,11.5,CL,1668882540
168,bluefields,12.0137,-83.7635,77.07,94,75,4.61,NI,1668882541
169,babusnica,43.0597,22.4117,53.6,100,100,3.15,RS,1668882541
170,aklavik,68.2191,-135.0107,30.2,100,100,0.0,CA,1668882542
171,pangnirtung,66.1451,-65.7125,-1.61,83,81,4.43,CA,1668882542
172,wilmington,34.2257,-77.9447,64.31,39,0,4.0,US,1668882400
173,mildura,-34.2,142.15,53.08,83,0,22.79,AU,1668882543
174,mogadishu,2.0371,45.3438,79.65,79,1,15.19,SO,1668882544
175,fortuna,40.5982,-124.1573,55.74,79,0,8.05,US,1668882544
176,ilulissat,69.2167,-51.1,10.54,86,99,3.04,GL,1668882545
177,chapais,49.7834,-74.8492,20.98,73,100,8.39,CA,1668882317
178,auki,-8.7676,160.7034,76.98,88,90,3.8,SB,1668882545
179,yavaros,26.7,-109.5167,77.45,34,64,2.59,MX,1668882546
180,te anau,-45.4167,167.7167,55.47,93,97,0.85,NZ,1668882547
181,havelock,34.8791,-76.9013,60.78,40,0,3.0,US,1668882451
182,shingu,33.7333,135.9833,58.08,90,72,6.67,JP,1668882548
183,oussouye,12.485,-16.5469,86.09,27,85,4.52,SN,1668882548
184,hirara,24.8,125.2833,76.05,74,0,4.12,JP,1668882549
185,vestmannaeyjar,63.4427,-20.2734,47.39,93,100,18.41,IS,1668882549
186,les cayes,18.2,-73.75,85.41,60,92,10.8,HT,1668882550
187,hambantota,6.1241,81.1185,75.54,100,20,0.0,LK,1668882550
188,abu samrah,35.3029,37.1841,62.8,55,0,4.72,SY,1668882551
189,south yuba city,39.1166,-121.6391,61.99,48,0,9.22,US,1668882551
190,chisindia,46.2833,22.1,45.36,86,100,3.15,RO,1668882552
